Job Title,Company,Salary,Experience,City,Benefits,Skills
Chuyên Viên Quản Lý Chất Lượng Dự Án (PQA-Dự Án CNTT) - Tại Hà Nội,CÔNG TY CỔ PHẦN GIẢI PHÁP SỐ MOBIFONE,"Hà Nội
2 năm",Không yêu cầu,Khác,,"QA Engineer, Tiếng ..., Nghỉ thứ 7, IT - Phần mềm"
Nhân Viên Thiết Kế,CÔNG TY CỔ PHẦN PHÁT TRIỂN GOLDEN SMILE,"Hồ Chí Minh (mới)
3 năm",Không yêu cầu,Khác,,3 năm ki...
Kỹ Sư Presale,CÔNG TY CỔ PHẦN CÔNG NGHỆ GIẢI PHÁP THI THIÊN,"Hồ Chí Minh (mới)
2 năm",Không yêu cầu,Khác,,
Lập Trình Viên AI,CÔNG TY CỔ PHẦN CÔNG NGHỆ VCS VIỆT NAM,"Hà Nội
3 năm",Không yêu cầu,Khác,,"AI Engineer, IT - Phần mềm"
Thực Tập Sinh Làm Web/App LMS Có Hỗ Trợ Lương,CÔNG TY CỔ PHẦN TƯ VẤN QUẢN LÝ DỰ ÁN T&C VIỆT NAM,Thỏa thuận,Không yêu cầu,Khác,,"B2C, B2B"
Senior Creative Designer,CÔNG TY CỔ PHẦN BEYOND COMMUNICATION,"Hồ Chí Minh (mới)
3 năm",Không yêu cầu,Khác,,Nghỉ thứ...
Lập Trình,CÔNG TY TNHH MÔ HÌNH VIỆT,"Hà Nội
Dưới 1 năm",Không yêu cầu,Khác,,Điện / ...
UI/UX Designer,CÔNG TY TNHH CÔNG NGHỆ NHẬN THỨC MÁY HORUS AI,"Hà Nội
2 năm",Không yêu cầu,Khác,,"Đại Học trở..., UI/UX Design"
Thực Tập Game Designer/ Thiết Kế Game Mobile,CÔNG TY TNHH HORUS PRODUCTIONS,Thỏa thuận,Không yêu cầu,Khác,,"Trun..., Game Design"
Lập Trình Unity Game 3D (Middle),CÔNG TY TNHH HORUS PRODUCTIONS,"Hà Nội
3 năm",Không yêu cầu,Khác,,"Game, 3 năm ki..."
Chuyên Viên IT Hạ Tầng Và Phần Cứng,CÔNG TY TNHH DỤNG CỤ AN MI,"Hưng Yên (mới)
1 năm",Không yêu cầu,Khác,,
Business Analyst,CÔNG TY TNHH NOVABYTE SOFTWARE,"Hà Nội
4 năm",Không yêu cầu,Khác,,"B2C, 4 năm ki..., Nghỉ thứ 7"
Nhân Viên IT,CÔNG TY CỔ PHẦN QUỐC TẾ BẢO HƯNG,"Hưng Yên (mới)
2 năm",Không yêu cầu,Khác,,
UI Designer,CÔNG TY TNHH NOVABYTE SOFTWARE,"Hà Nội
Trên 5 năm",Không yêu cầu,Khác,,"B2C, Trên 5 n..., Nghỉ thứ 7"
Angular Developer,CÔNG TY TNHH NOVABYTE SOFTWARE,"Hà Nội
3 năm",Không yêu cầu,Khác,,Nghỉ thứ 7
"IT Admin– IT Support, Quản Lý Thiết Bị Nội Bộ",CÔNG TY CP PHÁT TRIỂN GIÁO DỤC BẢO LINH,"Quảng Ngãi (mới)
2 năm",Không yêu cầu,Khác,,
Trưởng Nhóm Kinh Doanh Phần Mềm,CÔNG TY CỔ PHẦN CÔNG NGHỆ HENO,"Hồ Chí Minh (mới) & Hà Nội
2 năm",Không yêu cầu,Khác,,"Telesales, Direct Sales"
Thực Tập Sinh Kinh Doanh,CÔNG TY CỔ PHẦN CÔNG NGHỆ HENO,Thỏa thuận,Không yêu cầu,Khác,,"B2C, K..., Có hỗ trợ Data, B2B"
Chuyên Viên Phát Triển Game Unity (Casual/Puzzle),CÔNG TY TNHH HAPIGA VIỆT NAM,"Hà Nội
3 năm",Không yêu cầu,Khác,,"Game, 3 năm ki..."
Game Design Internship,CÔNG TY TNHH HAPIGA VIỆT NAM,Thỏa thuận,Không yêu cầu,Khác,,"Đại ..., Game Design"
Graphic Designer,CÔNG TY TNHH DƯỢC PHẨM ĐẠI TÂN TIẾN,"Hồ Chí Minh (mới)
2 năm",Không yêu cầu,Khác,,Y tế / D...
Business Analyst (BA) - IT,CÔNG TY CỔ PHẦN TẬP ĐOÀN SOINTECH,"Hà Nội
1 năm",Không yêu cầu,Khác,,"Tuổi ..., Data Analyst, Nghỉ thứ 7, IT - Phần mềm"
Nhân Viên Digital Marketing,CÔNG TY CỔ PHẦN THỰC PHẨM VÀ DỊCH VỤ MY WAY,"Hà Nội
2 năm",Không yêu cầu,Khác,,2 năm ki...
Product & AI Automation Intern,"Pro
CÔNG TY CỔ PHẦN CHỨNG KHOÁN PHÚ HƯNG",Thỏa thuận,Không yêu cầu,Khác,,"Chứng khoán, Ngh..., AI Researcher, IT - Phần mềm"
Chuyên Viên Design,CÔNG TY CỔ PHẦN BẤT ĐỘNG SẢN BẦU TRỜI VIỆT NAM,"Hà Nội
1 năm",Không yêu cầu,Khác,,Bất động...
Thực Tập Sinh Tư Vấn Triển Khai Phần Mềm Fulltime,CÔNG TY TNHH CÔNG NGHỆ PHẦN MỀM NASANI,Thỏa thuận,Không yêu cầu,Khác,,Online S...
Chuyên Viên Phân Tích Nghiệp Vụ (Business Analyst),EDUPIA,"Hà Nội
1 năm",Không yêu cầu,Khác,,1 ...
Tech Project Manager Làm Hybrid,CÔNG TY CỔ PHẦN TRUYỀN THÔNG VÀ GIẢI TRÍ CHICMEDIA,"Hà Nội
3 năm",Không yêu cầu,Khác,,3 năm...
Devsecops Engineer,CÔNG TY CỔ PHẦN CÔNG NGHỆ ALPHAWAY,"Hà Nội
2 năm",Không yêu cầu,Khác,,Nghỉ thứ 7
Thực Tập Sinh Công Nghệ Thông Tin – Thu Nhập Lên Đến 15 Triệu/Tháng,CÔNG TY TNHH CÔNG NGHỆ PHẦN MỀM NASANI,Thỏa thuận,Không yêu cầu,Khác,,Direct S...
Senior Graphic Designer,BCM VENTURE INTEGRATED,"Hồ Chí Minh (mới)
3 năm",Không yêu cầu,Khác,,Marketin...
Chuyên Viên Quản Lý Hệ Thống Phần Mềm,"Pro
CÔNG TY CỔ PHẦN XÂY DỰNG CDC","Hà Nội
2 năm",Không yêu cầu,Khác,,"T..., Xây dựng, IT - Phần mềm"
Graphic Designer POD,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ XUẤT NHẬP KHẨU ECOMBEST,"Hồ Chí Minh (mới)
1 năm",Không yêu cầu,Khác,,Thiết kế...
Graphic Design Intern,CÔNG TY CỔ PHẦN TẬP ĐOÀN VIBULA,Thỏa thuận,Không yêu cầu,Khác,,Marketin...
On Job Training Angular,"Pro
FPT SOFTWARE","Hà Nội
Dưới 1 năm",Không yêu cầu,Khác,,"Nghỉ thứ 7, IT - Phần mềm"
Thực Tập Sinh Nội Dung AI (AI Content Intern),CÔNG TY TNHH THÁI MẬU,Thỏa thuận,Không yêu cầu,Khác,,"AI Researcher, Thương..."
Product Owner,CÔNG TY TNHH CÔNG NGHỆ RBX,"Hà Nội
1 năm",Không yêu cầu,Khác,,IT - Phần m...
